epoch	host_time	pid	memavail_kb	total_pss_kb	total_rss_kb	gl_mtrack_kb	egl_mtrack_kb	swap_pss_kb
1783081383	05:23:03	30062	892040					
1783081388	05:23:08	30062	889936					
1783081394	05:23:14	30062	889072					
1783081399	05:23:19	30062	887340	2272069	2213536	1563788	58140	147290
1783081404	05:23:24	30062	893900					
1783081409	05:23:29	30062	897500					
1783081414	05:23:34	30062	886700					
1783081420	05:23:40	30062	884884					
1783081425	05:23:45	30062	884972					
1783081430	05:23:50	30062	882172	2333852	2275548	1686332	58140	147062
1783081435	05:23:55	30062	885600					
1783081441	05:24:01	30062	884400					
1783081446	05:24:06	30062	867596					
1783081451	05:24:11	30062	869060					
1783081456	05:24:16	30062	866196					
1783081461	05:24:21	30062	827724	2264271	2206324	1683768	58140	146762
1783081467	05:24:27	30062	835220					
1783081472	05:24:32	30062	831208					
1783081477	05:24:37	30062	825520					
1783081482	05:24:42	30062	819120					
1783081487	05:24:47	30062	819072					
1783081492	05:24:52	30062	815640	2266832	2208996	1686328	58140	146654
1783081498	05:24:58	30062	820372					
1783081503	05:25:03	30062	819568					
1783081508	05:25:08	30062	811896					
1783081513	05:25:13	30062	810312					
1783081518	05:25:18	30062	795588					
1783081523	05:25:23	30062	796384	2261731	2203992	1681716	58140	146583
1783081529	05:25:29	30062	670572					
1783081534	05:25:34	30062	628616					
1783081539	05:25:39	30062	624800					
1783081544	05:25:44	30062	2025120					
1783081549	05:25:49	30062	2018864					
1783081554	05:25:54	30062	2017656	294788	292832	53732	58140	91133
1783081560	05:26:00	30062	2023724					
1783081565	05:26:05	30062	2029416					
1783081570	05:26:10	30062	2055604					
1783081575	05:26:15	30062	2054968					
1783081580	05:26:20	30062	2036632					
1783081586	05:26:26	30062	2030172	299252	297936	53820	58140	90629
1783081591	05:26:31	30062	2027980					
1783081596	05:26:36	30062	2029096					
1783081601	05:26:41	30062	2060980					
1783081606	05:26:46	30062	2060112					
1783081612	05:26:52	30062	2052488					
1783081617	05:26:57	30062	2052008	297483	296212	53820	58140	90625
1783081622	05:27:02	30062	2051272					
1783081627	05:27:07	30062	1958660					
1783081632	05:27:12	30062	1876928					
1783081638	05:27:18	30062	1867148					
1783081643	05:27:23	30062	1954396					
1783081648	05:27:28	30062	1951588	296748	296028	53756	58140	90596
1783081653	05:27:33	30062	1885820					
1783081658	05:27:38	30062	1925556					
1783081664	05:27:44	30062	1990604					
1783081669	05:27:49	30062	1985552					
